root_id,root_label,subtopic_id,subtopic_label,subtopic_source,paper_count,example_titles
time_series_dynamical_systems,Time Series & Dynamical Systems,time_series_forecasting,Time Series Forecasting,keyword_refinement,8,ASTGI: Adaptive Spatio-Temporal Graph Interactions for Irregular Multivariate Time Series Forecasting | AutoDA-Timeseries: Automated Data Augmentation for Time Series | DistDF: Time-series Forecasting Needs Joint-distribution Wasserstein Alignment | FeDaL: Federated Dataset Learning for General Time Series Foundation Models | PHAT: Modeling Period Heterogeneity for Multivariate Time Series Forecasting
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",bandits_online,Bandits & Online RL,keyword_refinement,7,Bayesian Ensemble for Sequential Decision-Making | Breaking the Total Variance Barrier: Sharp Sample Complexity for Linear Heteroscedastic Bandits with Fixed Action Set | Efficient Multi-objective Prompt Optimization via Pure-exploration Bandits | Laplacian Kernelized Bandit | Lipschitz Bandits with Stochastic Delayed Feedback
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",privacy_fairness,Privacy & Fairness,keyword_refinement,7,A Rich Knowledge Space for Scalable Deepfake Detection | Deconstructing Positional Information: From Attention Logits to Training Biases | Do Vision-Language Models Respect Contextual Integrity in Location Disclosure? | How to Cure Newton for Unlearning Neural Networks? An Empirical Study from the Hessian Perspective | Missingness Bias Calibration in Feature Attribution Explanations
safety_alignment_fairness_privacy,"Safety, Alignment, Fairness & Privacy",safety_security,Safety & Security,keyword_refinement,7,A General Framework for Black-Box Attacks Under Cost Asymmetry | A-TPT: Angular Diversity Calibration Properties for Test-Time Prompt Tuning of Vision-Language Models | A2ASecBench: A Protocol-Aware Security Benchmark for Agent-to-Agent Multi-Agent Systems | Modal Aphasia: Can Unified Multimodal Models Describe Images From Memory? | PACEbench: A Framework for Evaluating Practical AI Cyber-Exploitation Capabilities
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",inverse,Inverse,official_virtual_topic,6,Causally Robust Reward Learning from Reason-Augmented Preference Feedback | GRACE: A Language Model Framework for Explainable Inverse Reinforcement Learning | Imitation Learning as Return Distribution Matching | Learning to Answer from Correct Demonstrations | On Discovering Algorithms for Adversarial Imitation Learning
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",causality,Causality,keyword_refinement,5,"Characterization and Learning of Causal Graphs with Latent Confounders and Post-treatment Selection from Interventional Data | Debiased Front-Door Learners for Heterogeneous Effects | Mechanistic Independence: A Principle for Identifiable Disentangled Representations | Selection, Reflection and Self-Refinement: Revisit Reasoning Tasks via a Causal Lens | Transformers with Endogenous In-Context Learning: Bias Characterization and Mitigation"
optimization_theory_probabilistic,"Optimization, Theory & Probabilistic ML",global_optimization,Global Optimization,official_virtual_topic,5,BoGrape: Bayesian optimization over graphs with shortest-path encoded | Entropic Confinement and Mode Connectivity in Overparameterized Neural Networks | Neural Collapse in Multi-Task Learning | Solving the 2-norm k-hyperplane clustering problem via multi-norm formulations | Taming Momentum: Rethinking Optimizer States Through Low-Rank Approximation
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",function_approximation,Function Approximation,official_virtual_topic,5,ActiveDPO: Active Direct Preference Optimization for Sample-Efficient Alignment | Bridging the performance-gap between target-free and target-based reinforcement learning | Chunking the Critic: A Transformer-based Soft Actor-Critic with N-Step Returns | Policy Newton Algorithm in Reproducing Kernel Hilbert Space | SSVPO: Effective Step-Level Credit Assignment for RL Training of Language Models
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",multi_agent_rl,Multi-Agent RL,keyword_refinement,5,Distributionally Robust Cooperative Multi-agent Reinforcement Learning with Value Factorization | GEM: A Gym for Generalist LLMs | Multi-agent Coordination via Flow Matching | Potentially Optimal Joint Actions Recognition for Cooperative Multi-Agent Reinforcement Learning | THOR: Tool-Integrated Hierarchical Optimization via RL for Mathematical Reasoning
generative_models_diffusion,Generative Models & Diffusion,flow_matching,Flow Matching & Rectified Flow,keyword_refinement,4,Decoupled MeanFlow: Turning Flow Models into Flow Maps for Accelerated Sampling | Flow Straight and Fast in Hilbert Space: Functional Rectified Flow | Nano3D: A Training-Free Approach for Efficient 3D Editing Without Masks | PairFlow: Closed-Form Source-Target Coupling for Few-Step Generation in Discrete Flow Models
reinforcement_learning_planning_agents,"Reinforcement Learning, Planning & Agents",offline_batch_rl,Offline / Batch RL,keyword_refinement,4,Dual-Robust Cross-Domain Offline Reinforcement Learning Against Dynamics Shifts | floq: Training Critics via Flow-Matching for Scaling Compute in Value-Based RL | Model-based Offline RL via Robust Value-Aware Model Learning with Implicitly Differentiable Adaptive Weighting | Recurrent Action Transformer with Memory
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",transfer_meta,"Transfer, Meta & Lifelong Learning",keyword_refinement,2,CoLA: Co-Calibrated Logit Adjustment for Long-Tailed Semi-Supervised Learning | Rethinking Continual Learning with Progressive Neural Collapse
vision_multimodal_applications,Vision / Multimodal Applications,video_generation,Video Generation,keyword_refinement,2,"FideDiff: Efficient Diffusion Model for High-Fidelity Image Motion Deblurring | The Quest for Generalizable Motion Generation: Data, Model, and Evaluation"
benchmarks_datasets_evaluation,"Benchmarks, Datasets & Evaluation",synthesis_annotation,Data Synthesis & Annotation,keyword_refinement,1,Aegis: Automated Error Generation and Attribution for Multi-Agent Systems
representation_self_supervised_transfer,"Representation, Self-Supervision & Transfer",self_supervised,Self-Supervised Learning,keyword_refinement,1,Understanding the Robustness of Distributed Self-Supervised Learning Frameworks Against Non-IID Data
time_series_dynamical_systems,Time Series & Dynamical Systems,sequential_anomaly_prediction,Sequential Prediction & Anomaly Detection,keyword_refinement,1,Step-Aware Residual-Guided Diffusion for EEG Spatial Super-Resolution
